MP name,Nature of membership,Start of term,End of term,State,Constituency,Party,Gender,Education,EducationalDetails,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
D.P. Tripathi,Elected,3-Apr-12,In office,Maharashtra,,Nationalist Congress Party,Male,Post Graduate,"M.A. (Political Science) Educated at Allahabad University, Allahabad and Jawaharlal Nehru University, New Delhi",61,14,0,165,0.99, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,18.7,0.5,176,76%
Dara Singh,Nominated,27-Aug-03,26/08/2009,,,Bharatiya Janata Party,Male,Others,Self-educated,85,0,0,19,0.57, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.2,0.1,25,77%,2.1,0.1,17,68%
Darshan Singh Yadav,Elected,3-Apr-12,In office,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.Com. Educated at Azad Hind Inter College, Karhal, Mainpuri, A.K. College, Shikohabad and Agra University, Agra",69,8,0,111,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,13.7,0.3,88,79%
Dasari Narayana Rao,Elected,3-Apr-06,02/04/2012,Andhra Pradesh,,Indian National Congress,Male,Graduate,"Honorary Doctorate from Andhra University, Visakhapatnam, 1986 ",66,0,0,0,0.13, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,20.2,0.8,262,77%
Debabrata Bandyopadhyay,Elected,18-Aug-11,In office,West Bengal,,All India Trinamool Congress,Male,Post Graduate,"B.A. (Hons.) Economics, M.A. (Economics) ; Educated at Presidency College, Kolkata and University of Calcutta, Kolkata",82,65,0,80,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.7,0.4,150,77%,29.5,0.2,63,75%
Derek O Brien,Elected,18-Aug-11,In office,West Bengal,,All India Trinamool Congress,Male,Graduate,"B.A. ; Educated at Scottish Church College, Kolkata",52,44,0,0,0.83, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.7,0.4,150,77%,29.5,0.2,63,75%
Devender T. Goud,Elected,3-Apr-12,In office,Andhra Pradesh,,Telugu Desam Party,Male,Graduate,"B.Com. Educated at Badruka College of Commerce, Hyderabad",60,26,0,196,0.74, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,11.5,0.2,154,77%
Dharam Pal Sabharwal,Elected,10-Apr-04,09/04/2010,Punjab,,Indian National Congress,Male,Graduate,"High School, Honours in Hindi (Prabhakar)",73,4,0,90,0.99, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.2,0.2,62,77%,4.7,0,85,79%
Dharmendra Pradhan,Elected,3-Apr-12,In office,Bihar,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Anthropology) Educated at Talcher College, Odisha and Utkal University, Bhubaneswar, Odisha",44,8,0,92,0.82, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,23.7,0,127,77%
Dhiraj Prasad Sahu,Elected,24-Jun-09,In office,Jharkhand,,Indian National Congress,Male,Graduate,"B.A. Educated at Marwari College, Ranchi ",54,4,0,370,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.4,1,290,77%,34.1,0.7,414,75%
Dilip Kumar Tirkey,Elected,4-Apr-12,In office,Orissa,,Biju Janata Dal,Male,Graduate,"B.A. Educated at Mohanpali College, Sundargarh, Odisha",36,3,0,55,0.56, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,19.6,0.5,82,81%
Dilipbhai Shivshankarbhai Pandya,Elected,18-Aug-11,In office,Gujarat,,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at University of Bombay, Mumbai",70,8,0,261,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.7,0.4,150,77%,19.7,0.7,170,75%
E.M. Sudarsana Natchiappan,Elected,30-Jun-10,In office,Tamil Nadu,,Indian National Congress,Male,Doctorate,"M.A., B.L. Educated at Thiayagarajar College, Madurai, Madras Law College, Chennai and Madurai Kamaraj University, Madurai",66,63,6,218,0.98,"This MP was appointed a minister in June, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",39.8,1,290,77%,54.4,0.7,347,71%
Ejaz Ali,Elected,20-Mar-08,07/07/2010,Bihar,,Janata Dal (United),Male,Post Graduate,"M.B.B.S., M.S. (General Surgery) Educated at Hazaribagh High School and Patna Medical College and Hospital (Patna University), Patna, Bihar ",55,5,0,8,0.66, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,11,0,81,77%
G. N. Ratanpuri,Elected,4-Aug-09,In office,Jammu and Kashmir,,Jammu and Kashmir National Conference,Male,Graduate,"B.Sc. ; Educated at Kashmir University, Srinagar",59,12,0,139,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.1,0.9,268,77%,17.8,0,96,90%
G. Sanjeeva Reddy,Elected,3-Apr-06,02/04/2012,Andhra Pradesh,,Indian National Congress,Male,Graduate,"Honorary Doctorate from Mahatma Gandhi Kashi Vidyapeeth, Varanasi, 2004",84,2,0,0,0.74, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,20.2,0.8,262,77%
G.K. Vasan,Elected,3-Apr-08,In office,Tamil Nadu,,Indian National Congress,Male,Graduate,"B.A. (Corporate Secretaryship) Educated at The New College, Madras University, Chennai ",49,0,0,0,0.00,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
Ganga Charan,Elected,19-Jun-09,02/04/2012,Uttar Pradesh,,Bahujan Samaj Party,Male,Professional Graduate,"BA, LLB",53,33,0,70,0.71, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.4,0.6,180,77%,19.6,1.3,120,79%
George Fernandes,Elected,4-Aug-09,07/07/2010,Bihar,,Janata Dal (United),Male,Inter/ Higher Secondary,"S.S.L.C. Educated at St. Aloysius College (High School), Mangalore",83,0,0,0,0.16, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.3,0.2,55,77%,6.4,0,57,77%
Ghulam Nabi Azad,Elected,11-Feb-09,In office,Jammu and Kashmir,,Indian National Congress,Male,Post Graduate,"M.Sc. (Zoology) Educated at Government Degree College Bhadarwah, G.G.M. Science College, Jammu, S.P. College, Srinagar and Kashmir University, Srinagar",64,0,0,0,0.00,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
Gireesh Kumar Sanghi,Elected,22-Jun-04,21/06/2010,Andhra Pradesh,,Indian National Congress,Male,Post Graduate,"B.A., M.A (Political Science) Educated at Osmania University, Hyderabad ",58,15,3,200,0.68, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,9.5,0.7,119,77%
Govindrao Wamanrao Adik,Elected,4-Aug-09,02/04/2012,Maharashtra,,Nationalist Congress Party,Male,Professional Graduate,"BA (Hons), LLB; Educated at Undirgaon, Janata Vidyalaya, Shrirampur and Dnyanmata Vidyalaya, Sangamner, Distt. Ahmednagar, M.E.S. College (now Garware College) and Law College, Pune",74,10,0,308,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),20.1,0.5,158,77%,23.8,0.6,256,76%
Gundu Sudha Rani,Elected,22-Jun-10,In office,Andhra Pradesh,,Telugu Desam Party,Female,Post Graduate,"M.A. (Public Administration) ; Educated at Madurai Kamaraj University, Madurai",49,36,0,441,0.67, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,22.2,0.3,297,77%
Gyan Prakash Pilania,Elected,10-Apr-08,In office,Rajasthan,,Bharatiya Janata Party,Male,Doctorate,"LL.B., M.A. (History), M.A. (Hindi), Ph.D. (History), one year academic higher course in Public Administration, Manchester University, Manchester (U.K.), Sahitya Ratan, Prayag (Allahabad) Educated at Law Faculty, Delhi University, Nagpur University, Bhaga",82,83,0,768,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,39.7,0.4,385,79%
H.K. Dua,Nominated,18-Nov-09,In office,,,Independent,Male,Post Diploma Course,"B.A., Post Graduate Diploma in Journalism ; Educated at Panjab University Hony. D. Litt. from Kurukshetra University, (Kurukshetra) and Panjab University",76,23,2,71,0.90, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),35.6,0.9,265,77%,16.4,0.3,85,68%
Hans Raj Bhardwaj,Elected,3-Apr-06,29/07/2009,Haryana,,Indian National Congress,Male,Post Graduate,"M.A., LL.B., Doctor of Laws (Honoris Causa) Educated at G.B.C.High School, Rohtak, B.M.College, Shimla, Agra University and Panjab University, Chandigarh",76,0,0,0,1.00, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),3.3,0.1,19,77%,4.2,0,9,87%
Hema Malini,Elected,3-Mar-11,02/04/2012,Karnataka,,Bharatiya Janata Party,Female,Matric,"Matric Educated at Andhra Mahila Sabha, Chennai",65,6,0,117,0.36,"This MP has been re-elected/nominated. During his previous term, this MP was a nominated representative; the term ended on 26th August, 2009. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.4,0.1,60,77%,5.1,0.1,31,64%
Hemant Soren,Elected,24-Jun-09,04/01/2010,Jharkhand,,Jharkhand Mukti Morcha,Male,Professional Graduate,"Engineering, Birla Institute of Technology, Mesra",38,1,0,0,0.22, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.5,0.2,49,77%,6.7,0.5,46,75%
Hishey Lachungpa,Elected,12-Mar-12,In office,Sikkim,,Sikkim Democratic Front,Male,Graduate,Bachelor in Arts,46,1,0,13,0.58, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),17.9,0.4,121,77%,1,0,13,68%
Husain Dalwai,Elected,26-Jul-11,In office,Maharashtra,,Indian National Congress,Male,Others,Information yet to receive,54,41,0,283,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),22.7,0.5,160,77%,25.6,0.9,263,76%
Ishwar Singh,Elected,10-Apr-08,In office,Haryana,,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Kurukshetra University, Kurukshetra ",63,24,0,263,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,25.7,2.1,185,87%
Ishwarlal Shankarlal Jain,Elected,5-Jul-10,In office,Maharashtra,,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Intermediate (Science) ; Educated at New English School, Jamner and M.J. College, Jalgaon",67,4,0,482,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,33.5,0.9,340,76%
Jabir Husain,Elected,3-Apr-06,02/04/2012,Bihar,,Rashtriya Janata Dal,Male,Post Graduate,"B.A. Hons. (Eng.), M.A. (Eng.) Educated under Bihar Secondary Education Board, Patna and Bihar University, Muzaffarpur ",68,1,0,17,0.97, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,28.2,0.1,206,77%
Jagat Prakash Nadda,Elected,3-Apr-12,In office,Himachal Pradesh,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B., Educated at St. Xaviers School, Patna, Patna College, Patna University and Himachal University, Shimla",53,11,0,62,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,14.6,0,71,88%
Jai Prakash,Elected,4-Aug-09,02/04/2012,Uttar Pradesh,,Bahujan Samaj Party,Male,Information not available,,55,0,0,132,0.62, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),20.1,0.5,158,77%,16.6,1.2,101,79%
Jai Prakash Narayan Singh,Elected,10-Apr-08,In office,Jharkhand,,Bharatiya Janata Party,Male,Graduate,B.Sc. (Hons.) Educated at Bihar University ,65,50,1,511,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,34.2,0.7,414,75%
Jairam Ramesh,Elected,22-Jun-10,In office,Andhra Pradesh,,Indian National Congress,Male,Post Graduate,"B.Tech., M.S. and Graduate Study Educated at I.I.T., Bombay, Carnegie Mellon University, U.S.A. and M.I.T., U.S.A.",59,0,0,0,0.00,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
Janardan Dwivedi,Elected,28-Jan-12,In office,Delhi,,Indian National Congress,Male,Post Graduate,"M.A., M. Litt. Educated at Allahabad University and Delhi University Conferred Honorary Degree of Doctor of Letters (D.Litt.) by the Tilak Maharashtra University, Pune ",68,3,0,0,0.99, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,6.8,0,88,93%
Janardhan Waghmare,Elected,3-Apr-08,In office,Maharashtra,,Nationalist Congress Party,Male,Doctorate,"M.A., LL.M., Ph. D. Educated at Osmania University, Hyderabad, Pune University, Pune and Dr. Babasaheb Ambedkar Marathwada University, Aurangabad ",79,79,3,830,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,46.6,1.3,468,76%
Janeshwar Mishra,Elected,3-Apr-06,22/01/2010,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A., LL.B. Educated at Ballia and Allahabad University",80,4,0,38,0.98, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.9,0.2,49,77%,6.2,0.2,37,79%
Javed Akhtar,Nominated,22-Mar-10,In office,,,Independent,Male,Graduate,BA,69,3,0,0,0.48, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,15.6,0.3,73,68%
Jaya Bachchan,Elected,3-Apr-12,In office,Uttar Pradesh,,Samajwadi Party,Female,Graduate,"S.S.C., Graduation Educated at St. Joseph's Convent School, Bhopal and Film & Television Institute of India, Pune ",65,24,0,196,0.58, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),26,0.7,186,77%,22,0.6,145,79%
Jayanthi Natarajan,Elected,3-Apr-08,In office,Tamil Nadu,,Indian National Congress,Female,Graduate,"B.A., B.L. Educated at Ethiraj College and Madras Law College ",59,18,3,198,0.53,"This MP was a minister from July, 2011 to December 23, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available till 25th March, 2011 and after 23 December, 20 (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",17.5,0.5,138,77%,26.5,0.2,158,71%
Jesudasu Seelam,Elected,22-Jun-10,In office,Andhra Pradesh,,Indian National Congress,Male,Post Graduate,"B.Sc., M.Sc. (Chemistry) Educated at Andhra Christian College, Guntur and Andhra University, Waltair, Visakhapatnam ",60,28,0,127,0.87,"This MP was appointed a minister in June, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",39.8,1,290,77%,31.7,1,416,77%
Jharna Das Baidya,Elected,3-Apr-10,In office,Tripura,,Communist Party of India (Marxist),Female,Post Graduate,"B.A. (Hons.), M.A. (Bengali) ; Educated at Tulsi Bati Balika Vidyalaya, Agartala, M.B.B. College, Agartala and University of Calcutta",51,29,0,149,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,29,0,149,84%
Joy Abraham,Elected,2-Jul-12,In office,Kerala,,Kerala Congress (M),Male,Professional Graduate,"B.A., LL.B. Educated at St. Thomas College, Pala and Law Academy, Law College, Thiruvananthapuram",62,6,0,18,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),12.2,0.2,92,77%,22.7,0,138,70%
Jugul Kishore,Elected,5-Jul-10,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Inter/ Higher Secondary,"Intermediate, J.L.M.D.J. Inter College, Khairabad, Sitapur (Uttar Pradesh)",55,2,0,93,0.65, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,25.4,1.2,151,79%
K. C. Tyagi,Elected,7-Feb-13,In office,Bihar,,Janata Dal (United),Male,Graduate,"B.Sc. Educated at Meerut University, Ghaziabad",63,25,0,108,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),9.2,0,58,77%,13.8,0,54,77%
K. Kasturirangan,Nominated,27-Aug-03,08/07/2009,,,Independent,Male,Doctorate,"B. Sc. (Hons.) in Physics, M.Sc. (Physics) with specialization in Electronics, Ph.D. (Astronomy and Astrophysics) Educated at Bombay University, Mumbai and Physical Research Laboratory, Gujarat University, Ahmedabad",73,0,0,0,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),1,0.1,4,77%,0.5,0,2,68%
K. Keshava Rao,Elected,3-Apr-06,02/04/2012,Andhra Pradesh,,Indian National Congress,Male,Doctorate,"M.A., Ph.D. Educated at Badruk College, Arts College, Osmania University, Hyderabad ",74,18,0,0,0.72, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,20.2,0.8,262,77%
K. Malaisamy,Elected,30-Jun-04,29/06/2010,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"B.A., B.L., M.B.A., M.A., Ph.D. Educated at Alagappa College, Karaikudi, Madras Law College, Chennai and University of Madras, Chennai ",76,29,0,126,0.98, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,17.4,0.2,82,71%
K. Parasaran,Nominated,29-Jun-12,In office,,,Independent,Male,Professional Graduate,"SSLC in 1942 from Hindu High School, Madras, completed graduation in 1949 from Presidency College, Madras and completed degree in Law in 1949 from Law College, Madras.",86,4,0,0,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),12.2,0.2,92,77%,4.8,0.2,15,68%
K. Rahman Khan,Elected,3-Apr-12,In office,Karnataka,,Indian National Congress,Male,Graduate,"Bachelor of Commerce (B.Com.), Fellow Chartered Accountant (FCA) Educated at Mysore University, Mysore ",74,0,0,0,0.00,"This MP was appointed a minister in October 2012. Previously he was Deputy Chairman, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
K.B. Shanappa,Elected,3-Apr-06,02/04/2012,Karnataka,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Political Science) Educated at Mysore University, Mysore ",75,12,0,10,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,13.1,1.4,81,64%
K.E. Ismail,Elected,2-Jul-06,01/07/2012,Kerala,,Communist Party of India,Male,Inter/ Higher Secondary,SSLC Educated at Kizhakkenchery (Kerala) ,74,1,0,338,0.32, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),27.6,0.7,198,77%,36.8,0.7,316,70%
K.N. Balagopal,Elected,3-Apr-10,In office,Kerala,,Communist Party of India (Marxist),Male,Professional Post Graduate,"M.Com., LL.B., LL.M. ; Educated at S.N. College, Punalur, M.G. College, Trivendrum, The Law Academy, Trivendrum, Kerala University, Thiruvanathapuram (Kerala)",50,92,0,514,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,50.2,0.7,361,70%
K.P. Ramalingam,Elected,30-Jun-10,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Graduate,"B.V.Sc. ; Educated at Madras Veterinary College, Chennai, Tamil Nadu",59,33,0,429,0.83, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,37,0.6,265,71%
K.R. Arjunan,Elected,25-Jul-13,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"S.S.L.C. Educated at Higher Secondary School, Nilgiris",52,2,0,0,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.2,0,31,77%,8.1,0,40,71%
K.V. Ramalingam,Elected,30-Jun-10,20/05/2011,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Arulmigu Palani Andavar Art and Science College, Palani, Tamil Nadu",57,5,0,0,0.65, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),7.1,0.2,52,77%,8.3,0,63,71%
K.V.P. Ramachandra Rao,Elected,10-Apr-08,In office,Andhra Pradesh,,Indian National Congress,Male,Graduate,"M.B.B.S. Educated at Rangaraya Medical College, Kakinada, Andhra University, Andhra Pradesh ",65,8,0,381,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31.7,1,416,77%
Kalraj Mishra,Elected,3-Apr-06,21/03/2012,Uttar Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A. Educated at Kashi Vidyapith, Varanasi ",72,55,3,356,0.69, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),22.8,0.6,174,77%,19.6,1.3,117,79%
Kamal Akhtar,Elected,5-Jul-04,04/07/2010,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A. (Hons.) in Economics, LL.B. Educated at Jamia Milia Islamia, New Delhi ",42,7,0,225,0.71, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,8.2,0.4,57,79%
Kanak Lata Singh,Elected,13-Dec-13,In office,Uttar Pradesh,,Samajwadi Party,Female,Information not available,Information not available,44,0,0,2,1.00, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),0.9,0,12,77%,0.9,0,11,79%
Kanimozhi,Elected,25-Jul-13,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Female,Post Graduate,M.A. ( Economics),46,41,1,328,0.52, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.4,0.7,347,71%
Kanjibhai Patel,Elected,3-Apr-06,02/04/2012,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.A. (Special) Educated at S.B.Garda College, Navsari, Gujarat ",77,6,0,258,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,15.9,0,152,75%
Kanwar Deep Singh,Elected,8-Jul-10,19/02/2014,Jharkhand,,All India Trinamool Congress,Male,Graduate,"B.A.,Punjabi University, Patiala (Punjab)",52,10,0,275,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.5,0.7,211,77%,25.2,0.2,326,75%
Kapila Vatsyayan,Nominated,10-Apr-07,15/02/2012,,,Independent,Female,Doctorate,"M.A. (English), M.A. (Education) Ph.D. and D. Litt. (Honoris causa) Educated at University of Delhi, University of Michigan, Ann Arbor (U.S.A.) and Banaras Hindu University, Varanasi (U.P.) ",85,7,0,0,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.9,0.6,169,77%,10.7,0.1,79,68%
Kaptan Singh Solanki,Elected,3-Apr-12,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.Ed. Educated at P.G.B.T. College, Ujjain and Jiwaji University, Gwalior, Madhya Pradesh ",74,24,0,374,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.1,0.9,268,77%,39.9,1.2,329,81%
Karan Singh,Elected,28-Jan-12,In office,Delhi,,Indian National Congress,Male,Doctorate,"M.A., Ph.D. Educated at Doon School, University of Jammu & Kashmir and University of Delhi ",82,14,0,0,0.90, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,6.8,0,88,93%
Khekiho Zhimomi,Elected,3-Apr-10,In office,Nagaland,,Nagaland People's Front,Male,Graduate,"B.A. (Hons.) Political Science Educated at St. Joseph College, North Bengal University, Darjeeling ",74,11,1,76,0.46,"This MP has been re-elected/nominated. During his previous term, this MP was an elected representative from Nagaland; the term ended on 2nd April, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",39.8,1,290,77%,11,1,76,46%
Kiranmay Nanda,Elected,3-Apr-12,In office,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"Educated at Calcutta University, Kolkata",69,4,0,36,0.72, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,13.7,0.3,88,79%
Kishore Kumar Mohanty,Elected,6-Aug-09,03/04/2012,Orissa,,Biju Janata Dal,Male,Professional Graduate,"B.Com., LL.B",55,18,0,73,0.82, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),19.9,0.5,157,77%,30.3,0,153,81%
Krishan Lal Balmiki,Elected,4-Apr-06,21/04/2010,Rajasthan,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary Educated under Rajasthan Board of Secondary Education, Jaipur ",71,8,0,44,0.67, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.6,0.2,66,77%,12.8,0.4,127,79%
Kumar Deepak Das,Elected,15-Jun-07,24/07/2013,Assam,,Asom Gana Parishad,Male,Graduate,"B.Sc., LL.B. Educated at M.C. College, Barpeta, Assam and Law College, Gauhati University, Jalukbari, Guwahati, Assam ",55,112,1,330,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.6,1,258,77%,38.8,0.2,224,84%
Kunal Kumar Ghosh,Elected,3-Apr-12,In office,West Bengal,,All India Trinamool Congress,Male,Certificate Course,"Certificate in Audio Visual Journalism, Media Management Educated at Annex College of Management and Annex-Cygnus Institute of Management, Kolkata",45,4,0,0,0.51, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,21.6,0.2,41,75%
Kusum Rai,Elected,26-Nov-08,In office,Uttar Pradesh,,Bharatiya Janata Party,Female,Inter/ Higher Secondary,,45,13,0,867,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Lalhming Liana,Elected,19-Jul-08,In office,Mizoram,,Mizo National Front,Male,Graduate,"B.A. Educated at Aizawl College, North Eastern Hill University, Aizawl ",58,1,0,26,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,1,0,26,87%
Lalit Kishore Chaturvedi,Elected,5-Jul-04,04/07/2010,Rajasthan,,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics), Rajasthan University, Visharad, Hindi Sahitya Sammelan, Allahabad ",82,16,0,293,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,14.5,0.4,144,79%
M. Rajasekara Murthy,Elected,3-Apr-06,05/12/2010,Karnataka,,Janata Dal (Secular),Male,Graduate,"B.A., B.Com., LL.B. Educated at Mysore University and Lucknow University ",91,0,0,0,0.70, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),13.5,0.4,111,77%,7.5,1,47,64%
M. Rama Jois,Elected,26-Jun-08,In office,Karnataka,,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.L. Educated at Central College and Government Law College, Bangalore, University of Mysore Conferred Honorary Doctor of Laws by Kuvempu University, Karnataka ",82,62,8,16,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,26.6,1.9,162,64%
